IMAGE,JNAME,RA,DEC,System_Type,Lens_Type,Source_Type,theta_E,theta_EErr,theta_EMethod,theta_ERef,z_L,z_LErr,z_LType,z_LRef,velDisp,velDispErr,velDispRef,z_S,z_SErr,z_SType,z_SRef,mag_u,mag_uErr,mag_uRef,mag_uS,mag_uSRef,mag_g,mag_gErr,mag_gRef,mag_gS,mag_gSRef,mag_r,mag_rErr,mag_rRef,mag_rS,mag_rSRef,mag_i,mag_iErr,mag_iRef,mag_iS,mag_iSRef,mag_z,mag_zErr,mag_zRef,mag_zS,mag_zSRef,mag_y,mag_yErr,mag_yRef,mag_F814W,mag_F814WErr,mag_F814WRef,mag_F814WS,mag_F814WSRef
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J084427.2-001059.2.png"")",J084427.2-001059.2,131.11329,-0.1831,,CLUSTER,GALAXY,,,,,0.365770012,,S,HSC Wide DR3,,,,1.13,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.19544,0.29483,KiDS DR3,,,20.8126965,0.00243366277,HSC Wide DR3,,,19.0864868,0.000997774303,HSC Wide DR3,,,18.4172516,0.000609330076,HSC Wide DR3,19.88,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,18.0843544,0.000734152796,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J084647.5+044605.0.png"")",J084647.5+044605.0,131.69779,4.76805,,,GALAXY,3.4,0.1,SIE model,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,0.24144608,0.0,S,SDSS DR17,242.57613,21.73554,SDSS DR17,1.405,0.001,S,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,20.718746,0.19059351,SDSS DR17,,,19.3807411,0.00186347275,HSC Wide DR3,,,18.0189896,0.000933317468,HSC Wide DR3,,,17.4612389,0.000852865225,HSC Wide DR3,,,17.1591415,0.00117491442,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J084706.9+031822.6.png"")",J084706.9+031822.6,131.77871,3.30628,,,,,,,,0.1191583,0.0,S,SDSS DR17,200.14108,10.750853,SDSS DR17,0.4146,,S,Bolton et al. (2008) - arXiv:0805.1931,20.29553,0.085345656,SDSS DR17,,,18.470295,0.000595596211,HSC Wide DR3,,,17.5083389,0.000347197027,HSC Wide DR3,,,17.006794,0.000339643128,HSC Wide DR3,,,16.6988964,0.000409508357,HSC Wide DR3,,,,,,16.8,,Bolton et al. (2008) - arXiv:0805.1931,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J084729.2+013050.8.png"")",J084729.2+013050.8,131.87158,1.5141,,CLUSTER,GALAXY,,,,,0.34919822,0.0,S,SDSS DR17,305.34183,29.939247,SDSS DR17,0.89,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,21.97739,0.41154,KiDS DR3,,,19.8768902,0.00206808141,HSC Wide DR3,,,18.1954308,0.00087815756,HSC Wide DR3,,,17.6176014,0.000506540237,HSC Wide DR3,22.59,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,17.1621189,0.000625801913,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J084959.0-025142.0.png"")",J084959.0-025142.0,132.49583,-2.86167,,,,1.16,,,Leaf et al. (2018) - arXiv:1805.08640,0.274,,S,Leaf et al. (2018) - arXiv:1805.08640,276.0,35.0,Leaf et al. (2018) - arXiv:1805.08640,2.09,,S,Leaf et al. (2018) - arXiv:1805.08640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J084959.7-025142.8.png"")",J084959.7-025142.8,132.49896,-2.86189,Single Lens Galaxy,GALAXY,GALAXY,1.16,0.04,SIE model,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,0.284401,0.015931,P,Legacy DR9,,,,2.09,0.01,S,Moustakas et al. (2012) - adsabs:2012hst..prop12833M,21.722,0.028,CFHTLS Wide,,,19.901148,,Legacy DR9,,,18.447592,,Legacy DR9,,,18.243122,0.012981,DELVE DR2,,,17.667683,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085007.6+013659.0.png"")",J085007.6+013659.0,132.53158,1.6164,,CLUSTER,GALAXY,,,,,0.589282,0.00016457569,S,SDSS DR17,491.80853,59.95201,SDSS DR17,1.65,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,26.5039,1.230636,SDSS DR17,,,21.1287231,0.00572583172,HSC Wide DR3,,,19.4319458,0.00209633354,HSC Wide DR3,,,18.2607002,0.00100589299,HSC Wide DR3,23.57,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,17.7753773,0.00106499833,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085018.2+000333.7.png"")",J085018.2+000333.7,132.57567,0.05936,,,,,,,,0.036823045,0.0,S,SDSS DR17,78.828384,18.929941,SDSS DR17,0.25478062,,S,Talbot et al. (2022) - arXiv:2206.09902,18.3843,0.01416,KiDS DR3,,,17.810349,,Legacy DR9,,,17.241451,,Legacy DR9,,,16.7080307,,HSC Wide DR3,,,16.88777,,Legacy DR9,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085036.0-003413.4.png"")",J085036.0-003413.4,132.65,-0.5704,,CLUSTER,GALAXY,,,,,0.2953967,6.144552e-05,S,SDSS DR17,255.35197,20.585697,SDSS DR17,1.26,,P,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,22.26001,0.38189,KiDS DR3,,,20.1786842,0.00232603354,HSC Wide DR3,,,18.6744671,0.00101046287,HSC Wide DR3,,,18.0470428,0.00052637927,HSC Wide DR3,20.53,SuGOHI Candidate List (2021) - www-utap.phys.s.u-tokyo.ac.jp/~oguri/sugohi/,17.751564,0.000770069018,HSC Wide DR3,,,,,,,,,,
"=IMAGE(""https://raw.githubusercontent.com/oliveirara/slcomp-proposals/main/mosaics/J085112.9+010342.9.png"")",J085112.9+010342.9,132.80367,1.06193,,,,,,,,0.026635164,0.0,S,SDSS DR17,89.36107,7.980199,SDSS DR17,0.2738486,0.00014665724,S,Talbot et al. (2022) - arXiv:2206.09902,18.18197,0.0077,KiDS DR3,,,16.2189445,0.000287744304,HSC Wide DR3,,,15.3377628,0.000193942236,HSC Wide DR3,,,14.908123,0.000148435123,HSC Wide DR3,,,14.5842152,0.000177074195,HSC Wide DR3,,,,,,,,,,
